2026-03-10 15:29:46.455 | INFO     | emotion_model:<module>:24 - Loaded custom emotion model from custom_emotion_model.joblib
2026-03-10 15:30:20.195 | WARNING  | emotion_model:detect_emotion:46 - [FALLBACK_TRIGGERED] Custom model uncertain (Conf: 0.33). Routing to AI model...
2026-03-10 15:30:20.763 | INFO     | emotion_model:detect_emotion:62 - [AI_MODEL] Emotion: love | Conf: 0.92 | Latency: 584.04ms | Length: 4
2026-03-10 15:48:07.782 | WARNING  | emotion_model:detect_emotion:46 - [FALLBACK_TRIGGERED] Custom model uncertain (Conf: 0.28). Routing to AI model...
2026-03-10 15:48:08.326 | INFO     | emotion_model:detect_emotion:62 - [AI_MODEL] Emotion: neutral | Conf: 0.96 | Latency: 625.94ms | Length: 4
2026-03-10 15:48:36.964 | WARNING  | emotion_model:detect_emotion:46 - [FALLBACK_TRIGGERED] Custom model uncertain (Conf: 0.54). Routing to AI model...
2026-03-10 15:48:37.131 | INFO     | emotion_model:detect_emotion:62 - [AI_MODEL] Emotion: curiosity + neutral | Conf: 0.66 | Latency: 182.10ms | Length: 22
2026-03-10 15:49:00.888 | WARNING  | emotion_model:detect_emotion:46 - [FALLBACK_TRIGGERED] Custom model uncertain (Conf: 0.55). Routing to AI model...
2026-03-10 15:49:01.024 | INFO     | emotion_model:detect_emotion:62 - [AI_MODEL] Emotion: neutral + approval | Conf: 0.75 | Latency: 152.02ms | Length: 37
2026-03-10 15:49:16.303 | WARNING  | emotion_model:detect_emotion:46 - [FALLBACK_TRIGGERED] Custom model uncertain (Conf: 0.28). Routing to AI model...
2026-03-10 15:49:16.370 | INFO     | emotion_model:detect_emotion:62 - [AI_MODEL] Emotion: neutral | Conf: 0.95 | Latency: 78.21ms | Length: 12
2026-03-10 16:23:36.463 | INFO     | emotion_model:<module>:24 - Loaded custom emotion model from custom_emotion_model.joblib
